-60.,0.856,0.
-58.,0.834,0.
-56.,0.826,0.
-54.,0.797,0.
-52.,0.751,0.
-50.,0.776,0.
-48.,0.739,0.
-46.,0.691,0.
-44.,0.68,0.
-42.,0.644,0.001
-40.,0.605,0.
-38.,0.561,0.
-36.,0.482,0.
-34.,0.443,0.
-32.,0.413,0.
-30.,0.403,0.001
-28.,0.362,0.001
-26.,0.307,0.004
-24.,0.27,0.002
-22.,0.228,0.003
-20.,0.194,0.005
-18.,0.176,0.007
-16.,0.129,0.005
-14.,0.129,0.009
-12.,0.102,0.008
-10.,0.083,0.012
-8.,0.063,0.021
-6.,0.054,0.016
-4.,0.044,0.026
-2.,0.033,0.027
0.,0.031,0.031
